Bill,Session,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,File Date,Final Date,Sponsor 1,Sponsor 2,Sponsor 3,Sponsor 4,Sponsor 5,Sponsor 6,Sponsor 7,Sponsor 8,Sponsor 9,Sponsor 10,Sponsor 11,Sponsor 12,Sponsor 13,Sponsor 14,Sponsor 15,Sponsor 16,Sponsor 17,Sponsor 18,Sponsor 19,Sponsor 20,Sponsor 21,Sponsor 22,Sponsor 23,Sponsor 24,Sponsor 25,Sponsor 26,Sponsor 27,Sponsor 28,Sponsor 29,Sponsor 30,Sponsor 31,Sponsor 32,Sponsor 33,Sponsor 34,Sponsor 35,Sponsor 36,Sponsor 37,Sponsor 38,Sponsor 39,Sponsor 40,Sponsor 41,Sponsor 42,Sponsor 43,Sponsor 44,Sponsor 45,Sponsor 46,Sponsor 47,Sponsor 48,Sponsor 49,Sponsor 50,Sponsor 51,Sponsor 52,Sponsor 53,Sponsor 54,Sponsor 55
SB911 ,2020,1,S-T,1,0,1,H-T ,0,,,,,0,DiC,20200108,20200221,Ghazala Hashmi,John Bell,Jennifer Boysko,Scott Surovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB1061 ,2020,1,S-GLT,0,0,,,,,,,,0,DiC,20200117,20200205,Chap Petersen,Jennifer Boysko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB205 ,2020,-1,H-ACNR; H-LC ,0,0,,,,,,,,0,DiC,20191227,20200211,Ronnie Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB461  ,2020,-1,H-F ,0,0,,,,,,,,0,DiC,20200103,20200211,Rip Sullivan,Jennifer Carroll Foy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB705 ,2020,-1,H-ACNR,0,0,,,,,,,,0,DiC,20200106,20200205,Mark Keam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1170  ,2020,-1,H-ACNR,0,0,,,,,,,,0,DiC,20200107,20200211,Charles Poindexter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1171 ,2020,-1,H-ACNR,0,0,,,,,,,,0,DiC,20200107,20200205,Charles Poindexter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1360  ,2020,-1,H-ACNR; H-LC ,0,0,,,,,,,,0,DiC,20200108,20200211,Michael Webert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1628  ,2020,-1,H-LC ,0,0,,,,,,,,0,DiC,20200116,20200211,Charles Poindexter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1629 ,2020,-1,H-LC ,0,0,,,,,,,,0,DiC,20200116,20200211,Charles Poindexter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1636  ,2020,-1,H-ACNR; H-A ,0,0,,,,,,,,0,DiC,20200116,20200211,Ronnie Campbell,John Avoli,Chris Collins,Keith Hodges,Dave LaRock,John McGuire,Will Morefield,Charles Poindexter,Roxann Robinson,Wendell Walker,Lee Ware,Tommy Wright,Scott Wyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB769  ,2020,-1,S-ACNR,1,0,1,H-ACNR,0,,,,,0,DiC,20200108,20200303,Bryce Reeves,Joe Morrissey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB992 ,2020,-1,S-ACNR; S-CL,1,0,1,H-ACNR,0,,,,,0,DiC,20200116,20200227,"Lionell Spruill, Sr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1607  ,2020,0,H-LC ,0,1,,,,,,,,0,Inc,20200116,20200204,Joe Lindsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1664 ,2020,0,H-LC,1,0,1,S-CL,1,1,1,1,1,1,PiL,20200117,20200422,Cliff Hayes,Joe Lindsey,Jennifer Carroll Foy,Clint Jenkins,Ibraheem Samirah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB817  ,2020,0,S-CL ,1,0,1,H-LC,1,1,0,1,0,1,PiL,20200108,20200409,Lynwood Lewis,Bryce Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB828 ,2020,0,S-CL ,1,0,1,H-LC,1,1,0,1,0,1,PiL,20200108,20200407,Lynwood Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB860  ,2020,0,S-CL,1,0,1,H-LC,1,1,0,1,1,1,PiL,20200108,20200422,Monty Mason,Jennifer Boysko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
